buf_size,usr,sys,real,cycles
4,10.74,436.97,448.14,67108864
8,5.5,218.97,225.81,33554432
16,2.71,111.09,114.58,16777216
32,1.41,56.17,58.37,8388608
64,0.68,28.43,30,4194304
128,0.36,14.5,15.67,2097152
256,0.18,7.67,8.63,1048576
512,0.11,4.03,4.89,524288
1024,0.06,2.3,3.04,262144
2048,0.03,1.486,2.443,131072
4096,0.011,0.744,1.496,65536
8192,0.013,0.565,1.053,32768
16384,0.005,0.398,0.435,16384
32768,0.001,0.325,0.346,8192
65536,0.002,0.339,0.363,4096
131072,0.002,0.294,0.319,2048
262144,0.004,0.321,0.353,1024
524288,0.002,0.331,0.358,512
1048576,0.004,0.328,0.35,256
